activity_id,viewer_id,movie_id,watch_date,minutes_watched,completed
19e20d41-fbdc-48f3-9104-583a0ca167ca,64b8f385,MOV-038,2026-04-08 21:04:40,19,False
34aa0880-4534-4504-b2de-3b37796016f2,1afa8905,MOV-019,2025-09-20 21:04:40,146,False
41bd9d6a-9f20-45b4-bf94-3e1028e44e92,dbf6dd16,MOV-017,2025-09-02 21:04:40,111,True
afc570d6-f1bd-4418-bfa8-7fff45f88f9c,08b7c21c,MOV-030,2025-08-17 21:04:40,159,True
e553d5b5-bc3a-4060-af10-59c4d1c2790b,927e7d6d,MOV-033,2026-04-09 21:04:40,59,True
0a55e558-26ea-44ce-8ee0-73bf8eef1351,c57a0573,MOV-031,2025-07-18 21:04:40,32,True
9d796a2b-47cb-4add-9540-b057d107d9e7,49a6d715,MOV-048,2025-07-03 21:04:40,127,True
e87fc499-6e14-4a98-9ce1-b0bdf5b81dcd,b45a084a,MOV-046,2025-08-09 21:04:40,126,True
d710b30b-1e2a-41c3-8445-eaf0fa7c443c,15a14efe,MOV-002,2026-04-02 21:04:40,149,False
3bffe1e3-87e3-438a-b117-f8991bd15e2e,64b8f385,MOV-007,2026-01-14 21:04:40,92,False
fccd704d-28fb-462a-88e9-d123be562cb7,c36c598b,MOV-002,2026-01-28 21:04:40,91,True
dfd4ee71-31a5-4500-b054-32a3cbed59f2,a4c31c23,MOV-027,2025-05-16 21:04:40,147,False
3da0761c-c782-470a-88c8-6f1c90ef7429,90539f6e,MOV-045,2025-07-11 21:04:40,152,True
30d88cd1-1fe3-4a18-858a-4accbc4b88ab,9038366f,MOV-048,2025-08-23 21:04:40,12,True
cc48820c-c34a-4d04-900f-efbd2ad4cab4,1c948e85,MOV-033,2026-03-30 21:04:40,121,False
0d4bf174-b82e-48e0-a8fb-1e988219a566,1c846626,MOV-018,2025-05-28 21:04:40,16,False
6fbf91de-7a90-4d5d-baa3-2bd0363c5b40,d13c5a10,MOV-001,2025-10-02 21:04:40,96,True
2c791c3d-967f-441b-91f1-85c5f0bd9be5,f7b6f41d,MOV-019,2025-07-03 21:04:40,102,True
7d49144f-a0c6-4b4f-9d52-4d4ed97402b3,291b7b27,MOV-027,2025-06-12 21:04:40,26,True
0148f9fd-2831-4125-b0c3-ed9ded9b3e14,72c74a4b,MOV-010,2025-07-14 21:04:40,119,True
7fdb4fd9-2db6-47a3-8466-797c41539c7b,9e43fe70,MOV-038,2025-08-20 21:04:40,26,True
5eb4ae48-7b05-4730-b34c-8d78876c36ee,865266cf,MOV-033,2026-02-16 21:04:40,121,False
6000bf58-39e7-49c8-b6cb-9489bc28cdf1,df38721d,MOV-040,2026-02-13 21:04:40,92,False
5a776da4-3a66-4825-ae02-fbb6de74e68a,3036f5e6,MOV-047,2026-05-03 21:04:40,110,False
bed20c61-0e41-44d4-bb54-7cf3955975cf,e0bff36a,MOV-041,2025-09-13 21:04:40,143,False
eb7ba35f-2064-4cf7-afc5-888bf0caddf5,412105f2,MOV-021,2025-10-07 21:04:40,100,True
10c843af-3967-4d4d-9d2f-158f097f5841,107bdb49,MOV-031,2026-03-31 21:04:40,134,False
5613b579-9de3-462f-bb3b-8f98939e2c52,15a14efe,MOV-030,2026-04-28 21:04:40,41,True
626d33d9-e039-41e0-89b2-873fccf52ca6,a9111c66,MOV-032,2025-11-09 21:04:40,8,True
94fc3498-2beb-4125-bdad-db5dc1d41fc5,3ef366cc,MOV-002,2025-12-23 21:04:40,134,False
693620af-c9ca-4fa0-aea2-9d71d5d57620,1009dcf4,MOV-031,2025-07-08 21:04:40,92,False
cc079ef4-3853-4fe3-b955-4e8c027936c8,d2ed42fb,MOV-047,2025-05-09 21:04:40,54,True
abac8f27-82c4-409b-98e3-c9b653948a86,6960cbd4,MOV-041,2026-03-26 21:04:40,15,False
843f3805-716f-4f98-9ab1-05f48ce09ea0,a9942f1f,MOV-004,2025-06-06 21:04:40,49,False
2b037bab-2bf8-4c05-83cd-d888b25a8055,f124eb83,MOV-020,2026-04-14 21:04:40,50,False
bf47ffeb-9383-4cc9-8edd-648686d6bf93,7c0548f2,MOV-023,2025-12-06 21:04:40,150,True
6471f7db-550f-4991-8a6a-7832dbea014b,a163ea49,MOV-022,2026-04-08 21:04:40,118,True
f015ddb4-bade-4f19-8743-26a42c3f15fa,f99d01f1,MOV-027,2025-09-03 21:04:40,131,True
cb087532-a81a-46af-8375-5cd9fe22322f,d4522ef9,MOV-022,2026-01-22 21:04:40,132,False
1c72c167-f667-4e23-ac95-b3525a645ade,a9111c66,MOV-023,2025-12-18 21:04:40,148,True
443da278-1fce-4808-942f-44934aeaca5e,cf53c202,MOV-004,2026-02-16 21:04:40,49,False
9231f87d-6d9a-4ff1-a1ae-9b5efedcba2f,6960cbd4,MOV-021,2025-09-16 21:04:40,97,False
4faac68a-429a-4f49-afec-4d54e3b3ba42,1454d258,MOV-024,2026-02-03 21:04:40,93,False
8ee4d2bf-2f06-45b4-aae3-989cce7bde73,666f9a2a,MOV-004,2026-01-16 21:04:40,25,True
b0371ce6-213c-4c0e-a6f2-190359267463,f97d86a3,MOV-041,2026-03-28 21:04:40,146,True
4066df0a-22e6-4847-b2de-466fcbf1466f,7e27f6a9,MOV-014,2025-12-17 21:04:40,100,True
e90c5c26-f97d-4557-af54-1d72b441a981,16ad8187,MOV-012,2025-09-15 21:04:40,141,True
57d52b6c-bd54-493f-a872-01f91a14fa62,b8a0ce15,MOV-005,2025-07-16 21:04:40,159,False
ff018630-5332-4135-9137-1bd287f7bc87,19ed533f,MOV-028,2025-07-31 21:04:40,53,False
f23c414d-893a-4b5f-b4d0-87bffb095eaf,2b506204,MOV-047,2026-03-23 21:04:40,54,False
86190fba-f7fa-472e-91ac-f5a7a807aee1,c24abcca,MOV-030,2026-02-17 21:04:40,123,True
d01935f0-9a52-4ad3-a55a-2a1ae8c9094b,d772bcae,MOV-005,2026-01-28 21:04:40,130,True
75e0dfb5-998f-495b-be00-3a91e821ce02,2d0feb43,MOV-032,2025-05-24 21:04:40,177,True
fd450ee1-941b-41d4-891e-e12e432fc105,2d6618a4,MOV-024,2025-09-29 21:04:40,25,True
b031323f-b7d8-41f0-873b-2354949c0c20,b56bf78c,MOV-044,2026-03-14 21:04:40,71,True
6ddf5666-6f4a-4210-9727-96b0915173aa,f9b0c6cc,MOV-027,2025-08-31 21:04:40,67,True
4c4a326e-3f7a-4f74-a954-eeae31eab399,b30442e5,MOV-030,2025-12-11 21:04:40,134,False
2fb9c613-a419-47d2-8744-4bb069ff13cc,469440ef,MOV-037,2025-09-12 21:04:40,136,True
1a895178-95cf-41de-98a0-1dfd6362f23d,df38721d,MOV-004,2026-04-03 21:04:40,88,True
7a26f18b-6f85-4b18-8995-f248ac80d2a1,3eb77067,MOV-035,2025-12-28 21:04:40,51,True
6b5831e4-5acf-42ad-b54c-6e3f204c4680,731bf53e,MOV-037,2026-03-23 21:04:40,67,False
4602b060-db8f-4f29-8d39-4e6b9cd8004d,483b4f51,MOV-018,2025-08-14 21:04:40,36,False
01c81685-3117-4908-86b6-ce762c7fd030,a4364fa2,MOV-045,2026-04-17 21:04:40,8,False
1f95eb50-2e38-4eef-89c3-e050a18e0c2b,8c7ae108,MOV-037,2025-05-22 21:04:40,178,False
ba837ac9-1d8d-42d9-88c8-528988bcdf98,3e732816,MOV-026,2026-01-17 21:04:40,24,True
b779096f-f706-4de7-ade0-7ffab077ef4a,2db5b1fb,MOV-042,2025-10-11 21:04:40,119,True
3000f16d-fb66-4070-bcd7-b59b9c260f8e,80e6f295,MOV-021,2025-12-09 21:04:40,54,True
9661b129-bf87-4a69-9689-c360d32a03eb,7d2b849b,MOV-019,2025-12-01 21:04:40,153,True
c4289e7e-0efc-4312-9b4d-bfc969eac89f,4ca5acb4,MOV-015,2025-11-11 21:04:40,131,True
7fded8a8-97bf-4d7b-a1b8-0a936358510f,bb4dab28,MOV-050,2025-12-12 21:04:40,170,False
979c3ae0-7c6d-4701-b2d3-8ee9db8947f3,479ffa3e,MOV-030,2025-11-24 21:04:40,32,True
8e06242a-6935-4ef1-8659-1d838a65533c,267553d5,MOV-017,2026-05-02 21:04:40,128,True
162ba2ce-f685-4fed-b4e5-1128662aae56,3e732816,MOV-027,2025-09-16 21:04:40,13,True
64470b57-ad9d-4321-86b2-025dba8b8dc6,98e8afa1,MOV-050,2025-07-31 21:04:40,162,True
91ece001-c4ae-49eb-b59b-4a6acd3a9562,07c5daa6,MOV-040,2026-04-18 21:04:40,8,False
83bec327-302c-4aa6-840f-540facc58645,d1d019b1,MOV-043,2026-03-04 21:04:40,159,True
e049c066-8342-4e7e-8b80-1d435c6f8798,ff57363c,MOV-046,2025-10-12 21:04:40,19,False
a35691d2-37db-4b4a-a3ec-f60fc34f2d72,10f77c48,MOV-041,2025-08-13 21:04:40,139,False
009d48ec-f63b-4c28-b8f4-a832fdaeff47,1454d258,MOV-021,2025-06-06 21:04:40,108,True
126466ba-8475-4109-b68f-f8fc0cc3b392,df96a273,MOV-024,2025-05-12 21:04:40,79,True
0ea6f472-3ff9-48e5-8375-0f8581561fff,bc41091b,MOV-044,2025-11-14 21:04:40,62,True
5f085840-7090-4bda-bfbf-1f897e8edfef,ec37d8c4,MOV-042,2026-02-28 21:04:40,106,True
541cc59e-8a5a-4475-a06e-8d2a7fd1c69c,c532f5de,MOV-027,2026-04-14 21:04:40,49,False
20e52d4a-0f66-49c4-90ea-80de98be2662,e72224bf,MOV-048,2026-01-20 21:04:40,85,False
00ce5054-44b7-4769-a661-b2ccb27f666a,80e7d167,MOV-019,2026-03-15 21:04:40,121,True
2ce5bbfc-357e-4ade-b87a-bf9fc3718ce5,38c038d1,MOV-022,2025-07-17 21:04:40,97,True
fd0ff28c-faa2-4dd2-bfcb-6c0bb3b53477,dae778c5,MOV-044,2026-05-01 21:04:40,124,False
b944996f-d213-4f38-8b30-e33fd292bda5,f4fd9631,MOV-031,2025-08-19 21:04:40,66,False
2c9cf1f8-8e5e-4845-b335-da15b335820d,023990b3,MOV-038,2025-09-13 21:04:40,44,False
bcdbd627-1a4e-43fd-828c-907697e7e148,3f5d69e4,MOV-043,2026-03-26 21:04:40,42,True
07c01531-a56c-4689-a988-29a5ba35084a,9e8eb628,MOV-032,2026-01-21 21:04:40,131,True
f8effc46-e204-47e7-9069-bd42a4fd6914,497293ab,MOV-050,2026-03-30 21:04:40,156,False
da4bb56e-118a-40c8-85d9-ab5a3c2d46e1,3fed5699,MOV-034,2025-06-14 21:04:40,38,False
6387af1f-3ee0-4e2d-aea1-18c1028581d5,e0bff36a,MOV-009,2026-02-01 21:04:40,130,True
72e4dd0d-afac-458d-8230-48e21d5e01d3,178c6d49,MOV-030,2025-12-21 21:04:40,76,False
ca8ae385-bf99-4099-ad20-64e1c6c77077,950438d5,MOV-003,2026-01-17 21:04:40,24,True
3c07b8ca-a2e1-4cbd-9ca4-5d364c892c76,d25a61c0,MOV-034,2025-06-08 21:04:40,165,True
71448b90-123f-4381-9963-a5450bd4f1d5,a4c31c23,MOV-034,2026-03-27 21:04:40,78,False
